1,0, 0-15, 0-30,*
2,1, 0-15, 0-30,*
3,2, 0-15, 0-30,*
4,3, 0-15, 0-30,*
5,4, 0-15, 0-30,*
6,5, 0-15, 0-30,*
7,6, 0-15, 0-30,*
8,7, 0-15, 0-30,*
9,8, 0-15, 0-30,*
10,9, 0-15, 0-30,*
11,10, 0-15, 0-30,*
12,11, 0-15, 0-30,*
13,12, 0-15, 0-30,*
14,13, 0-15, 0-30,*
15,14, 0-15, 0-30,*
16,15, 0-15, 0-30,*
17,16, 16-30, 0-30,*
18,17, 16-30, 0-30,*
19,18, 16-30, 0-30,*
20,19, 16-30, 0-30,*
21,20, 16-30, 0-30,*
22,21, 16-30, 0-30,*
23,22, 16-30, 0-30,*
24,23, 16-30, 0-30,*
25,24, 16-30, 0-30,*
26,25, 16-30, 0-30,*
27,26, 16-30, 0-30,*
28,27, 16-30, 0-30,*
29,28, 16-30, 0-30,*
30,29, 16-30, 0-30,*
31,30, 16-30, 0-30,*
32,31, 31-45, 31-60,*
33,32, 31-45, 31-60,*
34,33, 31-45, 31-60,*
35,34, 31-45, 31-60,*
36,35, 31-45, 31-60,*
37,36, 31-45, 31-60,*
38,37, 31-45, 31-60,*
39,38, 31-45, 31-60,*
40,39, 31-45, 31-60,*
41,40, 31-45, 31-60,*
42,41, 41-50, 31-60,*
43,42, 41-50, 31-60,*
44,43, 41-50, 31-60,*
45,44, 41-50, 31-60,*
46,45, 41-50, 31-60,*
47,46, 46-60, 31-60,*
48,47, 46-60, 31-60,*
49,48, 46-60, 31-60,*
50,49, 46-60, 31-60,*
51,50, 46-60, 31-60,*
52,51, 51-60, 51-70,*
53,52, 51-60, 51-70,*
54,53, 51-60, 51-70,*
55,54, 51-60, 51-70,*
56,55, 51-60, 51-70,*
57,56, 51-60, 51-70,*
58,57, 51-60, 51-70,*
59,58, 51-60, 51-70,*
60,59, 51-60, 51-70,*
61,60, 51-60, 51-70,*
62,61, 61-75, 61-90,*
63,62, 61-75, 61-90,*
64,63, 61-75, 61-90,*
65,64, 61-75, 61-90,*
66,65, 61-75, 61-90,*
67,66, 61-75, 61-90,*
68,67, 61-75, 61-90,*
69,68, 61-75, 61-90,*
70,69, 61-75, 61-90,*
71,70, 61-75, 61-90,*
72,71, 71-80, 71-90,*
73,72, 71-80, 71-90,*
74,73, 71-80, 71-90,*
75,74, 71-80, 71-90,*
76,75, 71-80, 71-90,*
77,76, 71-80, 71-90,*
78,77, 71-80, 71-90,*
79,78, 71-80, 71-90,*
80,79, 71-80, 71-90,*
81,80, 71-80, 71-90,*
82,81, 81-90, 71-90,*
83,82, 81-90, 71-90,*
84,83, 81-90, 71-90,*
85,84, 81-90, 71-90,*
86,85, 81-90, 71-90,*
87,86, 81-90, 71-90,*
88,87, 81-90, 71-90,*
89,88, 81-90, 71-90,*
90,89, 81-90, 71-90,*
91,90, 81-90, 71-90,*
92,91, 91-105, 91-120,*
93,92, 91-105, 91-120,*
94,93, 91-105, 91-120,*
95,94, 91-105, 91-120,*
96,95, 91-105, 91-120,*
97,96, 91-105, 91-120,*
98,97, 91-105, 91-120,*
99,98, 91-105, 91-120,*
100,99, 91-105, 91-120,*
101,100, 91-105, 91-120,*
102,101, 91-105, 91-120,*
103,102, 91-105, 91-120,*
104,103, 91-105, 91-120,*
105,Unknown,Unknown,Unknown,*